Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
14,"J Zhang, Y Ni, L Qian, Q Fang, T Zheng…","Decreased Abundance of Akkermansia muciniphila Leads to the Impairment of Insulin Secretion and Glucose Homeostasis in Lean Type 2 Diabetes",2021,"Advanced …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/advs.202100536","https://scholar.google.com/scholar?cites=7456982510728308870&as_sdt=2005&sciodt=2007&hl=en",86,"2022-06-30 09:39:10","","10.1002/advs.202100536","","",,,,,14,14.00,2,6,1,"Although obesity occurs in most of the patients with type 2 diabetes (T2D), a fraction of patients with T2D are underweight or have normal weight. Several studies have linked the gut …","https://onlinelibrary.wiley.com/doi/full/10.1002/advs.202100536","https://scholar.google.com/scholar?q=related:huhCsBWGfGcJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
24,"RW Hagan, CA Hofman, A Hübner…","Comparison of extraction methods for recovering ancient microbial DNA from paleofeces",2020,"American Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.23978","https://scholar.google.com/scholar?cites=11629180938537137123&as_sdt=2005&sciodt=2007&hl=en",51,"2022-06-30 09:39:10","","10.1002/ajpa.23978","","",,,,,24,12.00,6,4,2,"Objectives Paleofeces are valuable to archeologists and evolutionary biologists for their potential to yield health, dietary, and host information. As a rich source of preserved …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ajpa.23978","https://scholar.google.com/scholar?q=related:4_M_FnMmY6EJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"G Azemtsop Matanfack, M Taubert…","Phenotypic Differentiation of Autotrophic and Heterotrophic Bacterial Cells Using Raman-D2O Labeling",2022,"Analytical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c04097","",73,"2022-06-30 09:39:10","","10.1021/acs.analchem.1c04097","","",,,,,0,0.00,0,3,1,"Carbon cycling is one of the major biogeochemical processes driven by bacteria. Autotrophic bacteria convert carbon dioxide (CO 2 ) into organic compounds that are used by …","https://pubs.acs.org/doi/full/10.1021/acs.analchem.1c04097","https://scholar.google.com/scholar?q=related:MF7wd8UZWq0J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
7,"G Azemtsop Matanfack, M Taubert, S Guo…","Monitoring deuterium uptake in single bacterial cells via two-dimensional Raman correlation spectroscopy",2021,"Analytical …","ACS Publications","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.1c01076","https://scholar.google.com/scholar?cites=9193392415902808751&as_sdt=2005&sciodt=2007&hl=en",79,"2022-06-30 09:39:10","","10.1021/acs.analchem.1c01076","","",,,,,7,7.00,2,4,1,"Raman-stable isotope labeling using heavy water (Raman-D 2 O) is attracting great interest as a fast technique with various applications ranging from the identification of pathogens in …","https://pubs.acs.org/doi/full/10.1021/acs.analchem.1c01076","https://scholar.google.com/scholar?q=related:rzqojrF9lX8J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"M Taubert, V Reilly-Schott, K Küsel, P Rösch…","Phenotypic Differentiation of Autotrophic and Heterotrophic Bacterial Cells Using Raman-D2O Labeling.",2022,"Analytical …","europepmc.org","https://europepmc.org/article/med/35608509","",114,"2022-06-30 09:39:10","","","","",,,,,0,0.00,0,5,1,"Carbon cycling is one of the major biogeochemical processes driven by bacteria. Autotrophic bacteria convert carbon dioxide (CO 2) into organic compounds that are used by …","https://scholar.google.com/scholar?output=instlink&q=info:039krKgOX4gJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=13665333958487204182&oi=lle",""
10,"R Mukherji, S Zhang, S Chowdhury…","Chimeric LuxR transcription factors rewire natural product regulation",2020,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201914449","https://scholar.google.com/scholar?cites=13457101886762596388&as_sdt=2005&sciodt=2007&hl=en",2,"2022-06-30 09:39:10","","10.1002/anie.201914449","","",,,,,10,5.00,3,4,2,"LuxR‐type transcriptional activator proteins frequently regulate the expression of biosynthetic gene clusters (BGCs). With only a fraction of bacterial BGCs being expressed under …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.201914449","https://scholar.google.com/scholar?q=related:JDi5At46wboJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"V Valiante, Y Huang, S Hoefgen…","Intrinsic Ability of the ß‐Oxidation Pathway To Produce Bioactive Styrylpyrones",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202206851","",20,"2022-06-30 09:39:10","","10.1002/anie.202206851","","",,,,,0,0.00,0,4,1,"Naturally occurring α‐pyrones with biological activities are mostly synthesised by polyketide synthases (PKSs) via iterative decarboxylative Claisen condensations. Remarkably, we …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202206851",""
0,"FL Portwich, Y Carstensen, A Dasgupta…","A Highly Fluorescent Dinuclear Aluminium Complex with Near‐Unity Quantum Yield",2022,"Angewandte Chemie …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.202117499","",141,"2022-06-30 09:39:10","","10.1002/anie.202117499","","",,,,,0,0.00,0,4,1,"The high natural abundance of aluminium makes the respective fluorophores attractive for various optical applications, but photoluminescence quantum yields above 0.7 have yet not …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202117499","https://scholar.google.com/scholar?q=related:d2lgEBLOPcYJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"FL Portwich, Y Carstensen, A Dasgupta…","Ein stark fluoreszierender zweikerniger Aluminiumkomplex mit nahezu 100% iger Quantenausbeute",2022,"Angewandte …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.202117499","",160,"2022-06-30 09:39:10","","10.1002/ange.202117499","","",,,,,0,0.00,0,4,1,"Aufgrund der hohen natürlichen Häufigkeit von Aluminium sind die entsprechenden Fluorophore für verschiedene optische Anwendungen attraktiv, jedoch wurden bislang keine …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.202117499","https://scholar.google.com/scholar?q=related:3nnCUcEb450J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"A Taga, MA Peyton, B Goretzki…","TRPV4 mutations causing mixed neuropathy and skeletal phenotypes result in severe gain of function",2022,"Annals of Clinical …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/acn3.51523","https://scholar.google.com/scholar?cites=3625366391897551783&as_sdt=2005&sciodt=2007&hl=en",150,"2022-06-30 09:39:10","","10.1002/acn3.51523","","",,,,,1,1.00,0,4,1,"Objective Distinct dominant mutations in the calcium‐permeable ion channel TRPV4 (transient receptor potential vanilloid 4) typically cause nonoverlapping diseases of either the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/acn3.51523","https://scholar.google.com/scholar?q=related:p3OxgYbjTzIJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"Z Sun, F Tuitje, C Spielmann","Improving the contrast of pseudothermal ghost images based on the measured signal distribution of speckle fields",2021,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/11/6/2621","https://scholar.google.com/scholar?cites=8474391822300700844&as_sdt=2005&sciodt=2007&hl=en",61,"2022-06-30 09:39:10","","","","",,,,,1,1.00,0,3,1,"Featured Application The speckles’ pixel intensity distribution in pseudothermal ghost imaging can influence the measured contrast-to-noise ratio (CNR) on a microscale. Based on …","https://www.mdpi.com/2076-3417/11/6/2621/htm","https://scholar.google.com/scholar?q=related:rGC1j3YWm3UJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"H Brangsch, M Höller, T Krauβe, M Waqas…","Extremophile metal resistance: Plasmid-encoded functions in Streptomyces mirabilis",2022,"Applied and …","Am Soc Microbiol","https://journals.asm.org/doi/abs/10.1128/aem.00085-22","https://scholar.google.com/scholar?cites=6442097293234144356&as_sdt=2005&sciodt=2007&hl=en",100,"2022-06-30 09:39:10","","10.1128/aem.00085-22","","",,,,,1,1.00,0,5,1,"The extreme metal tolerance of up to 130 mM NiSO 4 in Streptomyces mirabilis P16B-1 was investigated. Genome sequencing revealed the presence of a large linear plasmid, pI. To …","https://journals.asm.org/doi/pdf/10.1128/aem.00085-22","https://scholar.google.com/scholar?q=related:ZAS6Q1vtZlkJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
3,"FM Zerbini, SG Siddell, AR Mushegian, PJ Walker…","Differentiating between viruses and virus species by writing their names correctly",2022,"Archives of …","Springer","https://link.springer.com/article/10.1007/s00705-021-05323-4","https://scholar.google.com/scholar?cites=12325493315661719484&as_sdt=2005&sciodt=2007&hl=en",60,"2022-06-30 09:39:10","HTML","10.1007/s00705-021-05323-4","","",,,,,3,3.00,1,5,1,"Following the results of the International Committee on Taxonomy of Viruses (ICTV) Ratification Vote held in March 2021, a standard two-part ""binomial nomenclature"" is now the norm …","https://link.springer.com/article/10.1007/s00705-021-05323-4","https://scholar.google.com/scholar?q=related:vOd3Cd7yDKsJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"K Neubert, E Zuchantke, RM Leidenfrost, R Wünschiers…","Testing assembly strategies of Francisella tularensis genomes to infer an evolutionary conservation analysis of genomic structures",2021,"BMC genomics","Springer","https://link.springer.com/article/10.1186/s12864-021-08115-x","https://scholar.google.com/scholar?cites=10829481024489280485&as_sdt=2005&sciodt=2007&hl=en",163,"2022-06-30 09:39:10","HTML","10.1186/s12864-021-08115-x","","",,,,,1,1.00,0,5,1,"We benchmarked sequencing technology and assembly strategies for short-read, long-read, and hybrid assemblers in respect to correctness, contiguity, and completeness of …","https://link.springer.com/article/10.1186/s12864-021-08115-x","https://scholar.google.com/scholar?q=related:5VOEXp0LSpYJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
2,"JM Boysen, N Saeed…","Natural products in the predatory defence of the filamentous fungal pathogen Aspergillus fumigatus",2021,"Beilstein Journal of Organic …","beilstein-journals.org","https://www.beilstein-journals.org/bjoc/articles/17/124","https://scholar.google.com/scholar?cites=13561224439665705164&as_sdt=2005&sciodt=2007&hl=en",55,"2022-06-30 09:39:10","HTML","","","",,,,,2,2.00,1,3,1,"The kingdom of fungi comprises a large and highly diverse group of organisms that thrive in diverse natural environments. One factor to successfully confront challenges in their natural …","https://www.beilstein-journals.org/bjoc/articles/17/124","https://scholar.google.com/scholar?q=related:zMCeBcclM7wJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"R Akinyede, M Taubert, M Schrumpf…","Temperature sensitivity of dark CO2 fixation in temperate forest soils",2022,"Biogeosciences …","bg.copernicus.org","https://bg.copernicus.org/preprints/bg-2022-90/","",120,"2022-06-30 09:39:10","","","","",,,,,0,0.00,0,4,1,"Globally, soil temperature to 1 m depth is predicted to be up to 4 C warmer by the end of this century, with pronounced effects expected in temperate forest regions. Increased soil …","https://bg.copernicus.org/preprints/bg-2022-90/bg-2022-90.pdf","https://scholar.google.com/scholar?q=related:G6caaJpTWY8J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
54,"M Maurer, MS Gresnigt, A Last, T Wollny, F Berlinghof…","A three-dimensional immunocompetent intestine-on-chip model as in vitro platform for functional and microbial interaction studies",2019,"Biomaterials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0142961219304958","https://scholar.google.com/scholar?cites=9333663346903048388&as_sdt=2005&sciodt=2007&hl=en",25,"2022-06-30 09:39:10","HTML","","","",,,,,54,18.00,9,6,3,"Alterations of the microbial composition in the gut and the concomitant dysregulation of the mucosal immune response are associated with the pathogenesis of opportunistic infections, …","https://www.sciencedirect.com/science/article/pii/S0142961219304958","https://scholar.google.com/scholar?q=related:xGA9tVzVh4EJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"F Siwczak, Z Cseresnyes, MIA Hassan, KO Aina…","Human macrophage polarization determines bacterial persistence of Staphylococcus aureus in a liver-on-chip-based infection model",2022,"Biomaterials","Elsevier","https://www.sciencedirect.com/science/article/pii/S0142961222002721","",41,"2022-06-30 09:39:10","HTML","","","",,,,,0,0.00,0,5,1,"Infections with Staphylococcus aureus (S. aureus) have been reported from various organs ranging from asymptomatic colonization to severe infections and sepsis. Although …","https://www.sciencedirect.com/science/article/pii/S0142961222002721","https://scholar.google.com/scholar?q=related:MQqQjxpLa4AJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"TNM Hoang, Z Cseresnyés, S Hartung, M Blickensdorf…","Invasive aspergillosis-on-chip: A quantitative treatment study of human Aspergillus fumigatus infection",2022,"Biomaterials","Elsevier","https://www.sciencedirect.com/science/article/pii/S014296122200059X","https://scholar.google.com/scholar?cites=9911962185996975357&as_sdt=2005&sciodt=2007&hl=en",106,"2022-06-30 09:39:10","HTML","","","",,,,,1,1.00,0,5,1,"Invasive pulmonary aspergillosis is associated with a high mortality rate and poses a direct threat to immunocompromised patients. Here, we present the invasive aspergillosis-on-chip (…","https://www.sciencedirect.com/science/article/pii/S014296122200059X","https://scholar.google.com/scholar?q=related:_Tx0oxddjokJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"VH Pérez Carrillo, D Rose-Sperling, MA Tran…","Backbone NMR assignment of the nucleotide binding domain of the Bacillus subtilis ABC multidrug transporter BmrA in the post-hydrolysis state",2022,"Biomolecular NMR …","Springer","https://link.springer.com/article/10.1007/s12104-021-10063-2","https://scholar.google.com/scholar?cites=12065788867417827685&as_sdt=2005&sciodt=2007&hl=en",88,"2022-06-30 09:39:10","HTML","10.1007/s12104-021-10063-2","","",,,,,1,1.00,0,4,1,"ATP binding cassette (ABC) proteins are present in all phyla of life and form one of the largest protein families. The Bacillus subtilis ABC transporter BmrA is a functional homodimer that …","https://link.springer.com/article/10.1007/s12104-021-10063-2","https://scholar.google.com/scholar?q=related:ZWlNMQxLcqcJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"B Goretzki, F Tebbe, SA Mitrovic…","Backbone NMR assignments of the extensive human and chicken TRPV4 N-terminal intrinsically disordered regions as important players in ion channel …",2022,"Biomolecular NMR …","Springer","https://link.springer.com/article/10.1007/s12104-022-10080-9","https://scholar.google.com/scholar?cites=6258676683721498061&as_sdt=2005&sciodt=2007&hl=en",93,"2022-06-30 09:39:10","HTML","10.1007/s12104-022-10080-9","","",,,,,1,1.00,0,4,1,"Transient receptor potential (TRP) channels are important pharmacological targets due to their ability to act as sensory transducers on the organismic and cellular level, as polymodal …","https://link.springer.com/article/10.1007/s12104-022-10080-9","https://scholar.google.com/scholar?q=related:zV09sUhJ21YJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"C Wiedemann, B Goretzki, ZN Merz, F Tebbe…","Extent of intrinsic disorder and NMR chemical shift assignments of the distal N-termini from human TRPV1, TRPV2 and TRPV3 ion channels",2022,"Biomolecular NMR …","Springer","https://link.springer.com/article/10.1007/s12104-022-10093-4","",110,"2022-06-30 09:39:10","HTML","10.1007/s12104-022-10093-4","","",,,,,0,0.00,0,5,1,"The mammalian Transient Receptor Potential Vanilloid (TRPV) channels are a family of six tetrameric ion channels localized at the plasma membrane. The group I members of the family…","https://link.springer.com/article/10.1007/s12104-022-10093-4","https://scholar.google.com/scholar?q=related:23UE3hnz5M4J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
0,"S Galiani, K Reglinski, P Carravilla, A Barbotin…","Diffusion and interaction dynamics of the cytosolic peroxisomal import receptor PEX5",2022,"Biophysical Reports","Elsevier","https://www.sciencedirect.com/science/article/pii/S266707472200012X","",188,"2022-06-30 09:39:10","HTML","","","",,,,,0,0.00,0,5,1,"Cellular functions rely on proper actions of organelles such as peroxisomes. These organelles rely on the import of proteins from the cytosol. The peroxisomal import receptor PEX5 …","https://www.sciencedirect.com/science/article/pii/S266707472200012X","https://scholar.google.com/scholar?q=related:u0tUKFroGCcJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
4,"P Carravilla, A Dasgupta, G Zhurgenbayeva…","Long-term STED imaging of membrane packing and dynamics by exchangeable polarity-sensitive dyes",2021,"Biophysical reports","Elsevier","https://www.sciencedirect.com/science/article/pii/S2667074721000239","https://scholar.google.com/scholar?cites=11288674406943804772&as_sdt=2005&sciodt=2007&hl=en",36,"2022-06-30 09:39:10","HTML","","","",,,,,4,4.00,1,4,1,"Understanding the plasma membrane nanoscale organization and dynamics in living cells requires microscopy techniques with high spatial and temporal resolution that permit for long …","https://www.sciencedirect.com/science/article/pii/S2667074721000239","https://scholar.google.com/scholar?q=related:ZM3tKpBtqZwJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
137,"Y Liu, Y Wang, Y Ni, CKY Cheung, KSL Lam, Y Wang…","Gut microbiome fermentation determines the efficacy of exercise for diabetes prevention",2020,"Cell Metabolism","Elsevier","https://www.sciencedirect.com/science/article/pii/S1550413119306084","https://scholar.google.com/scholar?cites=8441991658532190817&as_sdt=2005&sciodt=2007&hl=en",147,"2022-06-30 09:39:10","HTML","","","",,,,,137,68.50,20,7,2,"Exercise is an effective strategy for diabetes management but is limited by the phenomenon of exercise resistance (ie, the lack of or the adverse response to exercise on metabolic …","https://www.sciencedirect.com/science/article/pii/S1550413119306084","https://scholar.google.com/scholar?q=related:YTqfk6_6J3UJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
6,"J Westman, J Plumb, A Licht, M Yang, S Allert…","Calcium-dependent ESCRT recruitment and lysosome exocytosis maintain epithelial integrity during Candida albicans invasion",2022,"Cell reports","Elsevier","https://www.sciencedirect.com/science/article/pii/S2211124721016879","https://scholar.google.com/scholar?cites=4664914036370647414&as_sdt=2005&sciodt=2007&hl=en",107,"2022-06-30 09:39:10","HTML","","","",,,,,6,6.00,1,6,1,"Candida albicans is both a commensal and an opportunistic fungal pathogen. Invading hyphae of C. albicans secrete candidalysin, a pore-forming peptide toxin. To prevent cell death, …","https://www.sciencedirect.com/science/article/pii/S2211124721016879","https://scholar.google.com/scholar?q=related:dimbrZkavUAJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"CE Zielinski","Regulation of T Cell Responses by Ionic Salt Signals",2021,"Cells","mdpi.com","https://www.mdpi.com/2073-4409/10/9/2365","https://scholar.google.com/scholar?cites=6371810473213212815&as_sdt=2005&sciodt=2007&hl=en",63,"2022-06-30 09:39:10","","","","",,,,,1,1.00,1,1,1,"T helper cell responses are tailored to their respective antigens and adapted to their specific tissue microenvironment. While a great proportion of T cells acquire a resident identity, a …","https://www.mdpi.com/2073-4409/10/9/2365/pdf","https://scholar.google.com/scholar?q=related:j7j8t903bVgJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
1,"M Arunkumar, CE Zielinski","T-Cell Receptor Repertoire Analysis with Computational Tools—An Immunologist's Perspective",2021,"Cells","mdpi.com","https://www.mdpi.com/2073-4409/10/12/3582","https://scholar.google.com/scholar?cites=958539938026648871&as_sdt=2005&sciodt=2007&hl=en",69,"2022-06-30 09:39:10","","","","",,,,,1,1.00,1,2,1,"Over the last few years, there has been a rapid expansion in the application of information technology to biological data. Particularly the field of immunology has seen great strides in …","https://www.mdpi.com/2073-4409/10/12/3582/pdf","https://scholar.google.com/scholar?q=related:J3Uavf5qTQ0J:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
9,"A König, R Müller, S Mogavero, B Hube","Fungal factors involved in host immune evasion, modulation and exploitation during infection",2021,"Cellular Microbiology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/cmi.13272","https://scholar.google.com/scholar?cites=17746572991706333856&as_sdt=2005&sciodt=2007&hl=en",99,"2022-06-30 09:39:10","","10.1111/cmi.13272","","",,,,,9,9.00,2,4,1,"Human and plant pathogenic fungi have a major impact on public health and agriculture. Although these fungi infect very diverse hosts and are often highly adapted to specific host …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/cmi.13272","https://scholar.google.com/scholar?q=related:oIIyTxx-SPYJ:scholar.google.com/&scioq=390713860&hl=en&as_sdt=2007"
